World Name,Theorem Name,Correct Accuracy,Proof Accuracy
correct_train.json,zero_add,4 / 12 = 33.33%,0 / 2 = 0.00%
correct_train.json,succ_add,5 / 18 = 27.78%,0 / 2 = 0.00%
correct_train.json,add_comm,6 / 16 = 37.50%,0 / 2 = 0.00%
correct_train.json,add_assoc,11 / 19 = 57.89%,0 / 2 = 0.00%
correct_train.json,add_right_comm,7 / 9 = 77.78%,0 / 2 = 0.00%
correct_train.json,le_refl,2 / 7 = 28.57%,0 / 2 = 0.00%
correct_train.json,zero_le,2 / 6 = 33.33%,0 / 2 = 0.00%
correct_train.json,le_succ_self,1 / 5 = 20.00%,0 / 2 = 0.00%
correct_train.json,le_trans,2 / 11 = 18.18%,0 / 2 = 0.00%
correct_train.json,le_zero,0 / 8 = 0.00%,0 / 2 = 0.00%
correct_train.json,le_antisymm,1 / 22 = 4.55%,0 / 2 = 0.00%
correct_train.json,orr_symm,0 / 10 = 0.00%,0 / 2 = 0.00%
correct_train.json,le_total,6 / 44 = 13.64%,0 / 2 = 0.00%
correct_train.json,succ_le_succ,0 / 10 = 0.00%,0 / 2 = 0.00%
correct_train.json,le_one,2 / 18 = 11.11%,0 / 2 = 0.00%
correct_train.json,le_two,3 / 33 = 9.09%,0 / 2 = 0.00%
correct_train.json,add_right_cancel,5 / 20 = 25.00%,0 / 2 = 0.00%
correct_train.json,add_left_cancel,3 / 16 = 18.75%,0 / 2 = 0.00%
correct_train.json,add_left_eq_self,3 / 13 = 23.08%,0 / 2 = 0.00%
correct_train.json,add_right_eq_self,3 / 13 = 23.08%,0 / 2 = 0.00%
correct_train.json,add_right_eq_zero,3 / 16 = 18.75%,0 / 2 = 0.00%
correct_train.json,add_left_eq_zero,2 / 12 = 16.67%,0 / 2 = 0.00%
correct_train.json,zero_pow_zero,3 / 4 = 75.00%,1 / 2 = 50.00%
correct_train.json,zero_pow_succ,3 / 11 = 27.27%,0 / 2 = 0.00%
correct_train.json,pow_one,2 / 13 = 15.38%,0 / 2 = 0.00%
correct_train.json,one_pow,4 / 14 = 28.57%,0 / 2 = 0.00%
correct_train.json,pow_two,2 / 7 = 28.57%,0 / 2 = 0.00%
correct_train.json,pow_add,5 / 16 = 31.25%,0 / 2 = 0.00%
correct_train.json,mul_pow,8 / 30 = 26.67%,0 / 2 = 0.00%
correct_train.json,pow_pow,4 / 15 = 26.67%,0 / 2 = 0.00%
correct_train.json,add_sq,2 / 21 = 9.52%,0 / 2 = 0.00%
correct_train.json,mul_one,2 / 12 = 16.67%,0 / 2 = 0.00%
correct_train.json,zero_mul,2 / 11 = 18.18%,0 / 2 = 0.00%
correct_train.json,succ_mul,2 / 26 = 7.69%,0 / 2 = 0.00%
correct_train.json,mul_comm,8 / 16 = 50.00%,0 / 2 = 0.00%
correct_train.json,one_mul,2 / 5 = 40.00%,0 / 2 = 0.00%
correct_train.json,two_mul,3 / 6 = 50.00%,0 / 2 = 0.00%
correct_train.json,mul_add,2 / 14 = 14.29%,0 / 2 = 0.00%
correct_train.json,add_mul,3 / 8 = 37.50%,0 / 2 = 0.00%
correct_train.json,mul_assoc,8 / 15 = 53.33%,0 / 2 = 0.00%
correct_train.json,add_left_comm,1 / 7 = 14.29%,0 / 2 = 0.00%
correct_train.json,var_swap,2 / 8 = 25.00%,0 / 2 = 0.00%
correct_train.json,succ_peano,2 / 8 = 25.00%,0 / 2 = 0.00%
correct_train.json,succ_ne_zero,2 / 10 = 20.00%,0 / 2 = 0.00%
correct_train.json,succ_ne_succ,2 / 6 = 33.33%,0 / 2 = 0.00%
correct_train.json,mul_le_mul_right,2 / 9 = 22.22%,0 / 2 = 0.00%
correct_train.json,mul_left_ne_zero,1 / 8 = 12.50%,0 / 2 = 0.00%
correct_train.json,eq_succ_of_ne_zero,2 / 8 = 25.00%,0 / 2 = 0.00%
correct_train.json,one_le_of_ne_zero,3 / 12 = 25.00%,0 / 2 = 0.00%
correct_train.json,le_mul_right,3 / 12 = 25.00%,0 / 2 = 0.00%
correct_train.json,mul_right_eq_one,1 / 21 = 4.76%,0 / 2 = 0.00%
correct_train.json,mul_ne_zero,1 / 18 = 5.56%,0 / 2 = 0.00%
correct_train.json,mul_eq_zero,0 / 6 = 0.00%,0 / 2 = 0.00%
correct_train.json,mul_left_cancel,8 / 36 = 22.22%,0 / 2 = 0.00%
correct_train.json,mul_right_eq_self,0 / 7 = 0.00%,0 / 2 = 0.00%
correct_val.json,rfl_intro,1 / 1 = 100.00%,1 / 1 = 100.00%
correct_val.json,two_eq_ss0:,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,add_zero_intro,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,succ_eq_add_one,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_val.json,twoaddtwo,1 / 8 = 12.50%,0 / 1 = 0.00%
correct_val.json,exact_5,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,exact_8,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_val.json,one_ne_zero,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_val.json,add_comm,3 / 8 = 37.50%,0 / 1 = 0.00%
correct_val.json,le_refl,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,zero_le,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,le_succ_self,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,le_zero,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_val.json,orr_symm,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_val.json,le_total,4 / 22 = 18.18%,0 / 1 = 0.00%
correct_val.json,succ_le_succ,0 / 5 = 0.00%,0 / 1 = 0.00%
correct_val.json,add_right_cancel,3 / 9 = 33.33%,0 / 1 = 0.00%
correct_val.json,add_left_cancel,0 / 9 = 0.00%,0 / 1 = 0.00%
correct_val.json,add_left_eq_self,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,add_right_eq_self,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,add_right_eq_zero,2 / 10 = 20.00%,0 / 1 = 0.00%
correct_val.json,zero_pow_succ,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,one_pow,2 / 11 = 18.18%,0 / 1 = 0.00%
correct_val.json,pow_two,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_val.json,mul_pow,2 / 7 = 28.57%,0 / 1 = 0.00%
correct_val.json,pow_pow,1 / 8 = 12.50%,0 / 1 = 0.00%
correct_val.json,add_sq,5 / 13 = 38.46%,0 / 1 = 0.00%
correct_val.json,mul_comm,4 / 7 = 57.14%,0 / 1 = 0.00%
correct_val.json,two_mul,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_val.json,mul_add,0 / 9 = 0.00%,0 / 1 = 0.00%
correct_val.json,add_mul,2 / 3 = 66.67%,0 / 1 = 0.00%
correct_val.json,add_left_comm,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,var_swap,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_val.json,succ_peano,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,mul_le_mul_right,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_val.json,one_le_of_ne_zero,2 / 7 = 28.57%,0 / 1 = 0.00%
correct_val.json,le_mul_right,3 / 7 = 42.86%,0 / 1 = 0.00%
correct_val.json,mul_ne_zero,1 / 8 = 12.50%,0 / 1 = 0.00%
correct_val.json,mul_right_eq_self,0 / 5 = 0.00%,0 / 1 = 0.00%
Total,292 / 1329 = 21.97%,5 / 225 = 2.22%
